Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region, Total , Male , Female 
Afghanistan,SA,,LDC,,, 65 , 74 , 56 
Albania,ECA,EECA,,,, 99 , 99 , 100 
Algeria,MENA,,,Northern Africa,All, 97 , 98 , 97 
Andorra,ECA,WE,,,,,,
Angola,SSA,ESA,LDC,Southern Africa,All,,,
Anguilla,LAC,,,,,,,
Antigua and Barbuda,LAC,,,,,,,
Argentina,LAC,,,,, 100 , 99 , 100 
Armenia,ECA,EECA,,,,,,
Australia,EAP,,,,,,,
Austria,ECA,WE,,,,,,
Azerbaijan,ECA,EECA,,,,,,
Bahamas,LAC,,,,,,,
Bahrain,MENA,,,,, 100 , 100 , 99 
Bangladesh,SA,,LDC,,, 93 , 92 , 95 
Barbados,LAC,,,,,,,
Belarus,ECA,EECA,,,, 100 , 100 , 100 
Belgium,ECA,WE,,,,,,
Belize,LAC,,,,,,,
Benin,SSA,WCA,LDC,Western Africa,All, 61 , 70 , 52 
Bhutan,SA,,LDC,,,,,
Bolivia (Plurinational State of),LAC,,,,,,,
Bosnia and Herzegovina,ECA,EECA,,,,,,
Botswana,SSA,ESA,,Southern Africa,All,,,
Brazil,LAC,,,,, 99 , 99 , 99 
British Virgin Islands,LAC,,,,,,,
Brunei Darussalam,EAP,,,,, 100 , 100 , 100 
Bulgaria,ECA,EECA,,,,,,
Burkina Faso,SSA,WCA,LDC,Western Africa,All, 58 , 62 , 55 
Burundi,SSA,ESA,LDC,Central Africa,All,,,
Cabo Verde,SSA,WCA,,Western Africa,All,,,
Cambodia,EAP,,LDC,,,,,
Cameroon,SSA,WCA,,Central Africa,All, 85 , 88 , 82 
Canada,NA,,,,,,,
Central African Republic,SSA,WCA,LDC,Central Africa,All, 38 , 48 , 29 
Chad,SSA,WCA,LDC,Central Africa,All,,,
Chile,LAC,,,,,,,
China,EAP,,,,, 100 , 100 , 100 
Colombia,LAC,,,,, 99 , 99 , 99 
Comoros,SSA,ESA,LDC,Eastern Africa,All, 78 , 78 , 78 
Congo,,,,Central Africa,All, 82 , 85 , 79 
Cook Islands,EAP,,,,,,,
Costa Rica,LAC,,,,, 99 , 99 , 100 
Côte d'Ivoire,SSA,WCA,,Western Africa,All, 58 , 64 , 53 
Croatia,ECA,EECA,,,,,,
Cuba,LAC,,,,,,,
Cyprus,ECA,WE,,,,,,
Czechia,ECA,WE,,,,,,
Democratic People's Republic of Korea,EAP,,,,,,,
Democratic Republic of the Congo,SSA,WCA,LDC,Central Africa,All,,,
Denmark,ECA,WE,,,,,,
Djibouti,SSA,ESA,LDC,Eastern Africa,All,,,
Dominica,LAC,,,,,,,
Dominican Republic,LAC,,,,,,,
Ecuador,LAC,,,,,,,
Egypt,MENA,,,Northern Africa,All,,,
El Salvador,LAC,,,,,,,
Equatorial Guinea,SSA,WCA,,Central Africa,All,,,
Eritrea,SSA,ESA,LDC,Eastern Africa,All, 93 , 94 , 93 
Estonia,ECA,WE,,,,,,
Ethiopia,SSA,ESA,LDC,Eastern Africa,All,,,
Fiji,EAP,,,,,,,
Finland,ECA,WE,,,,,,
France,ECA,WE,,,,,,
Gabon,SSA,WCA,,Central Africa,All, 90 , 88 , 91 
Gambia,SSA,WCA,LDC,Western Africa,All,,,
Georgia,ECA,EECA,,,,,,
Germany,ECA,WE,,,,,,
Ghana,SSA,WCA,,Western Africa,All, 92 , 93 , 92 
Greece,ECA,WE,,,,,,
Grenada,LAC,,,,,,,
Guatemala,LAC,,,,,,,
Guinea,,,,Western Africa,All,,,
Guinea-Bissau,SSA,WCA,LDC,Western Africa,All,,,
Guyana,LAC,,,,,,,
Haiti,,,,,,,,
Holy See,ECA,WE,,,,,,
Honduras,LAC,,,,, 97 , 95 , 98 
Hungary,ECA,WE,,,,,,
Iceland,ECA,WE,,,,,,
India,SA,,,,, 92 , 93 , 90 
Indonesia,,,,,, 100 , 100 , 100 
Iran (Islamic Republic of),MENA,,,,,,,
Iraq,,,,,, 56 , 60 , 53 
Ireland,ECA,WE,,,,,,
Israel,MENA,,,,,,,
Italy,ECA,WE,,,, 100 , 100 , 100 
Jamaica,LAC,,,,,,,
Japan,EAP,,,,,,,
Jordan,,,,,, 99 , 99 , 99 
Kazakhstan,ECA,EECA,,,,,,
Kenya,SSA,ESA,,Eastern Africa,All, 88 , 88 , 88 
Kiribati,EAP,,LDC,,,,,
Kuwait,MENA,,,,, 99 , 99 , 100 
Kyrgyzstan,ECA,EECA,,,, 100 , 100 , 100 
Lao People's Democratic Republic,,,,,,,,
Latvia,ECA,WE,,,,,,
Lebanon,MENA,,,,, 100 , 100 , 100 
Lesotho,SSA,ESA,LDC,Southern Africa,All,,,
Liberia,SSA,WCA,LDC,Western Africa,All,,,
Libya,MENA,,,Northern Africa,All,,,
Liechtenstein,ECA,WE,,,,,,
Lithuania,ECA,WE,,,,,,
Luxembourg,ECA,WE,,,,,,
Madagascar,SSA,ESA,LDC,Eastern Africa,All, 81 , 82 , 81 
Malawi,SSA,ESA,LDC,Southern Africa,All,,,
Malaysia,EAP,,,,,,,
Maldives,SA,,,,,,,
Mali,SSA,WCA,LDC,Western Africa,All, 50 , 58 , 43 
Malta,ECA,WE,,,, 99 , 99 , 100 
Marshall Islands,EAP,,,,,,,
Mauritania,,,,Northern Africa,All,,,
Mauritius,SSA,ESA,,Eastern Africa,All, 99 , 99 , 99 
Mexico,LAC,,,,, 99 , 99 , 99 
Micronesia (Federated States of),EAP,,,,,,,
Monaco,ECA,WE,,,,,,
Mongolia,EAP,,,,, 99 , 98 , 99 
Montenegro,ECA,EECA,,,, 99 , 99 , 99 
Montserrat,LAC,,,,,,,
Morocco,MENA,,,Northern Africa,All, 98 , 98 , 97 
Mozambique,SSA,ESA,LDC,Southern Africa,All,,,
Myanmar,EAP,,LDC,,,,,
Namibia,SSA,ESA,,Southern Africa,All, 95 , 94 , 96 
Nauru,EAP,,,,,,,
Nepal,SA,,LDC,,, 92 , 94 , 91 
Netherlands,ECA,WE,,,,,,
New Zealand,EAP,,,,,,,
Nicaragua,LAC,,,,,,,
Niger,SSA,WCA,LDC,Western Africa,All,,,
Nigeria,SSA,WCA,,Western Africa,All, 75 , 82 , 68 
Niue,EAP,,,,,,,
Norway,ECA,WE,,,,,,
Oman,MENA,,,,, 99 , 98 , 99 
Pakistan,,,,,,,,
Palau,EAP,,,,,,,
Panama,LAC,,,,, 99 , 99 , 99 
Papua New Guinea,EAP,,,,,,,
Paraguay,LAC,,,,, 98 , 98 , 99 
Peru,LAC,,,,, 99 , 99 , 99 
Philippines,,,,,,,,
Poland,ECA,WE,,,,,,
Portugal,ECA,WE,,,, 100 , 100 , 100 
Qatar,MENA,,,,,,,
Republic of Korea,EAP,,,,,,,
Republic of Moldova,ECA,EECA,,,,,,
Romania,ECA,EECA,,,, 99 , 99 , 99 
Russian Federation,ECA,EECA,,,, 100 , 100 , 100 
Rwanda,SSA,ESA,LDC,Eastern Africa,All, 86 , 84 , 89 
Saint Kitts and Nevis,LAC,,,,,,,
Saint Lucia,LAC,,,,,,,
Saint Vincent and the Grenadines,LAC,,,,,,,
Samoa,EAP,,,,, 99 , 99 , 99 
San Marino,ECA,WE,,,, 100 , 100 , 100 
Sao Tome and Principe,SSA,WCA,LDC,Central Africa,All, 98 , 98 , 98 
Saudi Arabia,MENA,,,,,,,
Senegal,,,,Western Africa,All,,,
Serbia,ECA,EECA,,,, 98 , 98 , 98 
Seychelles,SSA,ESA,,Eastern Africa,All, 99 , 99 , 100 
Sierra Leone,,,,Western Africa,All, 67 , 71 , 63 
Singapore,EAP,,,,, 100 , 100 , 100 
Slovakia,ECA,WE,,,,,,
Slovenia,ECA,WE,,,,,,
Solomon Islands,EAP,,LDC,,,,,
Somalia,SSA,ESA,LDC,Eastern Africa,All,,,
South Africa,,,,Southern Africa,All,,,
South Sudan,SSA,ESA,LDC,Eastern Africa,All, 48 , 48 , 47 
Spain,ECA,WE,,,, 100 , 100 , 100 
Sri Lanka,SA,,,,,,,
State of Palestine,MENA,,,,,,,
Sudan,SSA,ESA,LDC,Eastern Africa,All, 73 , 73 , 73 
Suriname,LAC,,,,, 99 , 99 , 98 
Eswatini,SSA,ESA,,Southern Africa,All, 95 , 94 , 97 
Sweden,ECA,WE,,,,,,
Switzerland,ECA,WE,,,,,,
Syrian Arab Republic,MENA,,,,,,,
Tajikistan,,,,,,,,
Thailand,,,,,,,,
North Macedonia,ECA,EECA,,,,,,
Timor-Leste,,,,,, 84 , 82 , 85 
Togo,SSA,WCA,LDC,Western Africa,All,,,
Tokelau,EAP,,,,,,,
Tonga,EAP,,,,, 99 , 99 , 100 
Trinidad and Tobago,LAC,,,,,,,
Tunisia,,,,Northern Africa,All,,,
Turkey,ECA,EECA,,,,,,
Turkmenistan,ECA,EECA,,,,,,
Turks and Caicos Islands,LAC,,,,,,,
Tuvalu,EAP,,LDC,,,,,
Uganda,SSA,ESA,LDC,Eastern Africa,All, 89 , 89 , 90 
Ukraine,ECA,EECA,,,,,,
United Arab Emirates,MENA,,,,,,,
United Kingdom,ECA,WE,,,,,,
United Republic of Tanzania,SSA,ESA,LDC,Eastern Africa,All,,,
United States,NA,,,,,,,
Uruguay,LAC,,,,, 99 , 99 , 99 
Uzbekistan,ECA,EECA,,,,,,
Vanuatu,EAP,,LDC,,, 96 , 96 , 97 
Venezuela (Bolivarian Republic of),LAC,,,,,,,
Viet Nam,EAP,,,,, 98 , 98 , 98 
Yemen,MENA,,LDC,,,,,
Zambia,SSA,ESA,LDC,Southern Africa,All, 92 , 93 , 92 
Zimbabwe,SSA,ESA,,Southern Africa,All,,,
